country,election_year,party,dataset_split,election_date,last_poll_date,days_before_election,final_poll_pct,final_rolling_avg,final_momentum_1st,final_momentum_2nd,recent_30d_mean,recent_30d_std,recent_30d_observations,recent_30d_trend_per_day,final_vs_recent_30d_mean,mean_poll_pct,poll_std,min_poll_pct,max_poll_pct,mean_rolling_avg,mean_momentum_1st,mean_momentum_2nd,n_poll_observations,campaign_span_days,actual_pct,is_winner
australia,2010,ALP (2PP),development,2010-08-21,2010-08-19,2,50.2,51.24,-1.7999999999999972,-1.7999999999999972,51.239999999999995,0.9329523031752475,5,-0.01955469506292313,7.105427357601002e-15,55.26461538461538,2.7637449937598335,49.0,63.0,55.36010256410256,-0.028124999999999956,-0.12380952380952376,65,1001,50.12,1
australia,2010,L/NP (2PP),development,2010-08-21,2010-08-19,2,49.8,48.760000000000005,1.7999999999999972,1.7999999999999972,48.760000000000005,0.9329523031752475,5,0.0195546950629236,0.0,44.73538461538462,2.7637449937598335,37.0,51.0,44.63989743589744,0.028124999999999956,0.12380952380952376,65,1001,49.88,0
australia,2013,L/NP (2PP),development,2013-09-07,2013-09-07,0,52.0,53.0,0.0,1.5,52.8,0.9486832980505143,11,-0.046538461538462216,0.20000000000000284,52.8,0.9486832980505143,50.8,54.0,52.883333333333326,-0.1,0.0,11,5,53.49,1
australia,2013,ALP (2PP),development,2013-09-07,2013-09-07,0,48.0,47.0,0.0,-1.5,47.2,0.9486832980505143,11,0.046538461538459266,-0.20000000000000284,47.2,0.9486832980505143,46.0,49.2,47.116666666666674,0.1,0.0,11,5,46.51,0
australia,2016,L/NP (2PP),development,2016-07-02,2016-07-01,1,50.5,50.6,-0.5,-1.0,50.05263157894737,0.7415264633476512,19,0.0331531995196442,0.5473684210526315,48.81777777777778,2.675841623688093,42.5,57.0,48.84259259259259,-0.011160714285714286,-0.006726457399103139,225,1030,50.36,1
australia,2016,ALP (2PP),development,2016-07-02,2016-07-01,1,49.5,49.4,0.5,1.0,49.94736842105263,0.7415264633476512,19,-0.0331531995196422,-0.5473684210526315,51.17777777777778,2.686086694132388,43.0,57.5,51.15214814814815,0.011160714285714286,0.006726457399103139,225,1030,49.64,0
australia,2019,L/NP (2PP),holdout,2019-05-18,2019-05-18,0,48.0,48.6,-0.5,0.0,48.625,0.45069390943299864,16,-0.01110848499172777,-0.02499999999999858,47.451530612244895,1.4201349835532782,44.0,52.0,47.4749574829932,-0.015384615384615385,0.002577319587628866,196,1053,51.53,1
australia,2019,ALP (2PP),holdout,2019-05-18,2019-05-18,0,52.0,51.4,0.5,0.0,51.375,0.45069390943299864,16,0.011108484991727459,0.02499999999999858,52.548469387755105,1.4201349835532782,48.0,56.0,52.5250425170068,0.015384615384615385,-0.002577319587628866,196,1053,48.47,0
australia,2022,ALP (2PP),holdout,2022-05-21,2022-05-21,0,52.1,51.46,-0.8999999999999986,-0.8999999999999986,53.16470588235295,2.146663944348392,17,-0.07406410763751578,-1.7047058823529468,50.089444444444446,3.6109762795341127,42.0,58.0,50.02145370370371,0.02904000000000002,0.00459677419354839,126,1099,52.13,1
australia,2022,L/NP (2PP),holdout,2022-05-21,2022-05-21,0,47.9,47.34,0.8999999999999986,0.8999999999999986,46.12941176470588,1.326545582854582,17,0.06741590819153034,1.210588235294125,46.79944444444444,2.602277484062074,42.0,53.0,46.86743518518518,-0.02904000000000002,-0.00459677419354839,126,1099,47.87,0
canada,2004,LPC,development,2004-06-28,2004-06-24,4,32.6,33.52,-0.3999999999999986,0.6000000000000014,33.32222222222222,1.7354332009794349,36,-0.058473382780959315,0.19777777777778027,34.015,2.69235491716824,29.0,42.0,34.40508333333334,-0.21538461538461534,-0.03684210526315786,40,30,36.72929932408394,1
canada,2004,CPC,development,2004-06-28,2004-06-24,4,31.8,31.360000000000003,-0.1999999999999993,-2.1999999999999997,31.827777777777776,2.59792771166977,36,0.047375833255092925,-0.46777777777777274,31.595,2.5859185988735223,25.0,37.0,31.454,0.09743589743589745,-0.03157894736842113,40,30,29.632040571182472,0
canada,2004,NDP,development,2004-06-28,2004-06-24,4,19.0,18.4,2.0,5.0,18.194444444444443,1.9410684979104287,36,0.011735987231245635,0.2055555555555557,18.1,1.881488772222678,15.0,22.0,18.045416666666664,0.02564102564102564,0.07894736842105263,40,30,15.68337439333352,0
canada,2004,BQ,development,2004-06-28,2004-06-24,4,11.2,12.24,-1.8000000000000007,-2.8000000000000007,11.45,1.0374916331657276,36,0.028673364003379824,0.7900000000000009,11.355,1.0368100115257375,9.0,13.0,11.292666666666667,0.00512820512820511,-0.02105263157894739,40,30,12.38588949466048,0
canada,2004,GPC,development,2004-06-28,2004-06-24,4,4.9,4.38,-0.0999999999999996,-1.0999999999999996,4.768571428571429,1.0972098193851083,35,-0.011095069815549028,-0.3885714285714288,4.602631578947369,1.2031727447626182,2.0,7.0,4.507807017543859,0.05135135135135136,0.02500000000000001,38,30,4.292368531206952,0
canada,2006,CPC,development,2006-01-23,2006-01-23,0,36.3,36.94,-0.7000000000000028,0.2999999999999971,36.54558823529412,2.2899674942163424,68,0.2054551172653658,0.3944117647058789,31.924752475247526,4.150996681952779,23.0,42.0,31.859917491749176,0.03333333333333331,-0.0055000000000000075,202,574,36.2692402774378,1
canada,2006,LPC,development,2006-01-23,2006-01-23,0,30.2,28.48,3.1999999999999997,3.1999999999999997,29.35735294117647,2.6161442315244026,68,-0.269252470874437,-0.8773529411764684,32.95891089108911,4.00337046143191,24.0,41.0,33.01972772277228,-0.03233830845771146,0.029500000000000012,202,574,30.231267680936675,0
canada,2006,NDP,development,2006-01-23,2006-01-23,0,17.5,18.12,-1.5,-1.5,17.273529411764706,1.484490172639873,68,0.10988581022019346,0.8464705882352952,17.27326732673267,1.9283651871139584,12.0,24.0,17.25161716171617,0.008955223880597036,-0.003999999999999986,202,574,17.477014318331875,0
canada,2006,BQ,development,2006-01-23,2006-01-23,0,10.5,11.08,-0.5,0.5,11.548529411764706,1.0251962003123833,68,-0.07241963009726236,-0.4685294117647061,12.3994923857868,1.3328911159953705,10.0,16.0,12.408307952622673,-0.00969387755102041,0.00974358974358981,197,574,10.482448086033228,0
canada,2006,GPC,development,2006-01-23,2006-01-23,0,4.5,5.220000000000001,-1.5,-3.5,5.1265625,0.9153623236695675,64,0.007735294117646957,0.09343750000000028,5.208074534161491,1.2202217065263998,1.0,10.0,5.209616977225673,0.0012500000000000067,-0.026415094339622625,161,574,4.4817498415182015,0
canada,2008,CPC,development,2008-10-14,2008-10-14,0,37.6,36.32,-0.3999999999999986,-1.3999999999999986,36.04554455445545,2.168702890718994,101,-0.15345848717692825,0.2744554455445538,35.51866666666667,2.6540004186552464,29.0,43.0,35.50620555555556,0.004347826086956536,0.009731543624161069,300,995,37.65330561863149,1
canada,2008,LPC,development,2008-10-14,2008-10-14,0,26.2,25.44,-0.1999999999999993,-3.999999999999997,25.870297029702968,2.272415060855534,101,0.009142051691447677,-0.4302970297029667,28.590635451505012,3.3409958758363096,21.0,40.0,28.62385730211817,-0.013422818791946308,-0.01346801346801348,299,995,26.262164155250712,0
canada,2008,NDP,development,2008-10-14,2008-10-14,0,18.2,20.32,-4.400000000000002,-7.000000000000004,18.80792079207921,1.5376259937632435,101,0.08161959884243077,1.5120792079207916,16.917666666666666,2.4445697417382517,10.0,24.0,16.906027777777776,0.002341137123745817,-0.016442953020134238,300,995,18.18154218784132,0
canada,2008,BQ,development,2008-10-14,2008-10-14,0,10.0,9.56,0.5,0.0,9.037623762376237,1.1213368511258226,101,0.084156396567209,0.5223762376237637,9.142465753424657,1.2614318683211603,5.0,13.0,9.14394406392694,-0.001718213058419244,0.006896551724137925,292,995,9.97514582240337,0
canada,2008,GPC,development,2008-10-14,2008-10-14,0,6.8,7.739999999999999,-0.2999999999999998,-0.3999999999999994,9.65049504950495,1.9415021112518254,101,-0.015491093703223257,-1.9104950495049513,9.098954703832753,2.0368809304369084,4.0,14.0,9.084686411149827,0.00804195804195804,-0.009824561403508777,287,995,6.777454635560008,0
canada,2015,LPC,holdout,2015-10-19,2015-10-19,0,39.5,38.48,0.3999999999999986,-2.9000000000000057,33.49722222222223,3.1044758111037676,72,0.28328493747885075,4.98277777777777,31.813913043478266,3.5175062054646102,23.0,40.0,31.59715942028986,0.12719298245614036,-0.02831858407079647,115,78,39.46763851658088,1
canada,2015,CPC,holdout,2015-10-19,2015-10-19,0,31.9,31.06,1.3999999999999986,2.799999999999997,31.574999999999996,1.8252663428174591,72,-0.010609315611794875,-0.514999999999997,30.707826086956523,2.2255882593572953,23.0,37.0,30.66982608695652,0.03421052631578946,-0.015929203539823016,115,78,31.91111168209498,0
canada,2015,NDP,holdout,2015-10-19,2015-10-19,0,19.7,20.36,0.0,0.6999999999999993,24.65277777777778,3.0234717086223095,72,-0.2961181016234254,-4.292777777777779,27.413913043478257,4.570222845989436,19.0,40.0,27.696985507246374,-0.1692982456140351,0.07610619469026546,115,78,19.721878810796238,0
canada,2015,BQ,holdout,2015-10-19,2015-10-19,0,4.7,5.02,-0.7999999999999998,-1.3999999999999997,4.472222222222222,0.9245452669379061,72,0.03882685301037949,0.5477777777777773,4.199130434782609,0.9363663025504415,2.3,6.0,4.191666666666666,-0.002631578947368412,-1.768496853385205e-17,115,78,4.66785375728734,0
canada,2015,GPC,holdout,2015-10-19,2015-10-19,0,3.4,4.119999999999999,-1.1999999999999995,-0.1999999999999997,4.890277777777778,1.325933604234958,72,-0.021378376889602393,-0.7702777777777792,4.987826086956521,1.29984265443014,2.0,8.0,4.978956521739131,0.0035087719298245936,-0.028318584070796463,115,78,3.427417200201825,0
canada,2019,CPC,holdout,2019-10-21,2019-10-21,0,34.3,32.260000000000005,2.0999999999999943,2.3999999999999915,33.115306122448985,1.7417649997781877,98,-0.12465414024349315,-0.8553061224489795,33.447457627118645,1.8806197979590995,29.0,37.8,33.4855790960452,-0.005982905982906008,0.006896551724137876,118,40,34.40788799986406,1
canada,2019,LPC,holdout,2019-10-21,2019-10-21,0,33.1,31.96,1.5,1.599999999999998,32.76428571428571,1.992703527105519,98,-0.08780640488137147,-0.8042857142857116,33.06525423728813,2.0759468788574473,28.0,37.2,33.06960451977401,0.009401709401709417,0.009482758620689653,118,40,33.06798602860192,0
canada,2019,NDP,holdout,2019-10-21,2019-10-21,0,16.0,18.48,-2.3000000000000007,-1.6000000000000014,15.414432989690724,2.8026493243358757,97,0.23737113466070978,3.0655670103092767,14.98205128205128,2.8993254560214954,8.6,21.0,14.911267806267807,0.008620689655172398,0.03565217391304352,117,40,15.926059000582663,0
canada,2019,BQ,holdout,2019-10-21,2019-10-21,0,7.6,6.94,2.6,4.6,6.045360824742269,1.231127269757919,97,0.09180924328633629,0.8946391752577316,5.782905982905983,1.2929982779247393,3.0,9.0,5.7584188034188015,0.01379310344827587,0.03913043478260871,117,40,7.692088836699113,0
canada,2019,GPC,holdout,2019-10-21,2019-10-21,0,6.5,6.94,-1.5999999999999996,-1.6999999999999993,9.221649484536082,1.649006373992777,97,-0.10572732081788355,-2.2816494845360813,9.214529914529914,1.597982967789218,5.5,13.4,9.244601139601139,-0.012931034482758594,-0.045217391304347807,117,40,6.497170751644582,0
uk,1997,LAB,development,1997-05-01,1997-05-01,0,43.2,45.84,0.2000000000000028,4.200000000000003,49.606896551724134,2.868609062736799,58,-0.1934099184372558,-3.7668965517241304,50.44819277108434,3.217173849405272,42.0,58.0,50.578493975903605,-0.05853658536585363,-0.05925925925925923,83,116,43.20796614899999,1
uk,1997,CON,development,1997-05-01,1997-05-01,0,30.7,30.74,-2.3000000000000007,-6.300000000000001,30.58103448275862,1.8933146355415327,58,0.02005440129183517,0.15896551724137709,30.23734939759036,2.0248879691380157,26.0,37.0,30.22809236947791,-0.003658536585365862,-0.01604938271604939,83,116,30.6558778281243,0
uk,1997,LIB,development,1997-05-01,1997-05-01,0,16.8,16.759999999999998,-1.1999999999999993,-0.1999999999999993,13.46206896551724,2.2013183813191155,58,0.13565361897930955,3.297931034482758,13.16024096385542,2.2036628740391184,9.0,19.0,13.085763052208835,0.009756097560975618,0.03456790123456791,83,116,16.75797291873973,0
uk,2001,LAB,development,2001-06-07,2001-06-07,0,40.7,43.94,-6.299999999999997,-8.299999999999997,47.9,3.485728479142205,33,-0.21713577185368926,-3.960000000000001,48.63275862068965,3.243209772955058,40.7,55.0,48.75270114942528,-0.09298245614035083,-0.14821428571428566,58,152,40.67507571760156,1
uk,2001,CON,development,2001-06-07,2001-06-07,0,31.7,31.34,1.6999999999999993,1.6999999999999993,30.53636363636364,2.040472046071423,33,-0.0016676999380035693,0.803636363636361,30.891379310344828,2.071171955661037,25.0,35.0,31.00068965517241,-0.05789473684210528,0.06607142857142856,58,152,31.69679372427669,0
uk,2001,LIB,development,2001-06-07,2001-06-07,0,18.3,17.86,0.3000000000000007,0.3000000000000007,15.342424242424244,2.081815976356293,33,0.1819218846869189,2.517575757575756,14.608620689655172,2.025721198330373,11.0,19.0,14.452758620689655,0.07543859649122808,0.00535714285714287,58,152,18.25862278406621,0
uk,2005,LAB,development,2005-05-05,2005-05-05,0,36.2,37.24,-1.7999999999999972,-0.7999999999999972,38.403076923076924,1.730626318886114,65,0.01644642794881612,-1.1630769230769218,38.168749999999996,1.975121963533729,34.0,43.0,38.1665625,-0.0189473684210526,0.012765957446808541,96,119,35.18455629037208,1
uk,2005,CON,development,2005-05-05,2005-05-05,0,33.2,32.84,0.2000000000000028,0.2000000000000028,32.54153846153846,1.6658462675115757,65,-0.10398173006519987,0.2984615384615452,32.699999999999996,1.7923448328934921,27.0,39.0,32.656666666666666,0.023157894736842134,0.012765957446808541,96,119,32.36154023973776,0
uk,2005,LIB,development,2005-05-05,2005-05-05,0,22.7,22.94,-0.3000000000000007,-1.3000000000000007,21.580000000000002,1.3186473255691868,65,0.06669746522087829,1.3599999999999994,21.267708333333335,1.713943721829052,16.0,26.0,21.255277777777774,0.017894736842105255,-0.05638297872340426,96,119,22.04733435062049,0
uk,2010,CON,development,2010-05-06,2010-05-06,0,36.9,36.38,-0.1000000000000014,-2.1000000000000014,35.18068181818182,2.3758662513312645,88,-0.09323112791770699,1.1993181818181853,36.681502890173405,2.50024369823617,31.0,42.0,36.728304431599234,-0.018023255813953497,-0.012280701754385974,173,120,36.05428716982348,1
uk,2010,LAB,development,2010-05-06,2010-05-06,0,29.7,27.34,1.6999999999999993,0.6999999999999993,28.292045454545452,2.2497081422279224,88,-0.10537666343205053,-0.952045454545452,29.385549132947975,2.5316195470139164,23.0,35.0,29.408227360308285,-0.007558139534883725,0.015789473684210523,173,120,28.99027149513312,0
uk,2010,LIB,development,2010-05-06,2010-05-06,0,23.6,26.72,-4.399999999999999,-6.399999999999999,26.075,4.4033368029257085,88,0.2852553891307351,0.6449999999999996,22.43121387283237,4.98865269907079,15.0,34.0,22.3288246628131,0.038372093023255824,-0.019883040935672506,173,120,23.02728101600924,0
uk,2015,CON,development,2015-05-07,2015-05-07,0,34.0,35.160000000000004,-3.799999999999997,-10.599999999999994,33.67586206896552,1.52111313727064,87,0.02726983337779916,1.484137931034482,33.0551724137931,1.7887746156086566,27.0,39.0,33.03514367816092,0.008658008658008658,-0.025217391304347813,232,125,36.80951151599356,1
uk,2015,LAB,development,2015-05-07,2015-05-07,0,34.0,32.84,2.8000000000000007,4.600000000000001,33.49655172413793,1.635767476088934,87,-0.04284973684848708,-0.6565517241379268,33.453448275862065,1.6169058912372472,28.0,39.0,33.459971264367816,0.004329004329004329,-0.0008695652173913012,232,125,30.44959813535456,0
uk,2015,LIB,development,2015-05-07,2015-05-07,0,9.0,8.620000000000001,0.9000000000000004,0.8000000000000007,8.483908045977012,1.0263061275304395,87,0.030954560888651884,0.13609195402298901,7.9271551724137925,1.2243557813682255,4.0,12.0,7.924525862068966,0.004329004329004329,-0.0004347826086956506,232,125,7.870067700897711,0
uk,2017,CON,holdout,2017-06-08,2017-06-08,0,43.5,42.6,0.0,-0.5,44.33870967741935,2.440872057192627,62,-0.1789159741226028,-1.738709677419351,43.992248062015506,2.8780002855961624,37.0,50.0,43.934108527131784,0.03515625,-0.023622047244094488,129,155,42.34444816238784,1
uk,2017,LAB,holdout,2017-06-08,2017-06-08,0,41.0,39.4,0.0,-3.0,35.193548387096776,3.2766953734272177,62,0.2704074555153406,4.206451612903223,30.94573643410853,4.919995710465421,23.0,41.0,30.742118863049097,0.1171875,-0.015748031496062992,129,155,39.98833816127743,0
uk,2017,LIB,holdout,2017-06-08,2017-06-08,0,7.6,7.040000000000001,0.0,-0.5999999999999996,8.114285714285716,1.1233251579266081,63,-0.020747612551159485,-1.0742857142857147,9.14,1.6463759735108643,6.0,13.0,9.17623076923077,-0.0186046511627907,0.0078125,130,155,7.365070948545071,0
uk,2019,CON,holdout,2019-12-12,2019-12-12,0,44.7,43.66,1.1000000000000014,-1.5,42.81428571428571,1.723217472651054,63,0.040817316590298774,0.845714285714287,34.911328125,7.172276581468675,17.0,47.0,34.883190104166665,0.01843137254901962,0.0003937007874015804,256,342,43.62593244041456,1
uk,2019,LAB,holdout,2019-12-12,2019-12-12,0,33.0,32.82,0.8999999999999986,0.7999999999999972,31.84285714285714,2.2833221609538477,63,0.16796099897365704,0.9771428571428586,29.199609375,5.020041848422392,18.0,41.0,29.219166666666666,-0.00392156862745098,-0.0003937007874015804,256,342,32.07664058129369,0
uk,2019,LIB,holdout,2019-12-12,2019-12-12,0,11.8,11.88,0.200000000000001,2.6000000000000014,13.292063492063491,1.73217008469664,63,-0.12152459577236506,-1.4120634920634902,14.405490196078432,4.289829428358857,5.0,24.0,14.392091503267974,0.007086614173228349,-0.003162055335968375,255,342,11.546218214406084,0
us,2000,DEM,development,2000-11-07,2000-11-07,0,43.323453,43.1830368,0.0,-0.1580799999999982,42.81581383870967,0.2620963604514134,31,0.005256914919354073,0.36722296129033083,41.517779490039835,2.559984320664934,37.629209,46.100919,41.515404174833996,0.0014513760000000105,-1.5261044177881358e-07,251,250,48.20364535317434,1
us,2000,REP,development,2000-11-07,2000-11-07,0,46.945554,46.7963518,0.0,-0.146410000000003,45.81720829032257,0.6001276058533744,31,0.06415184798387066,0.9791435096774279,45.609924266932275,1.560925744926073,42.368068,50.373415,45.63763316507304,-0.013711444000000007,2.2329317269172206e-06,251,250,47.89431854647568,0
us,2000,OTHER,development,2000-11-07,2000-11-07,0,3.7936984,3.8291923,0.0,0.0396465000000003,3.972471719354839,0.14488185205436482,31,0.002847055161290276,-0.143279419354839,3.9818622760956175,0.6538646227908332,2.8255959,6.0740978,3.9788914481274897,0.0014256164000000019,0.0,251,250,3.902036100349978,0
us,2004,REP,development,2004-11-02,2004-11-02,0,48.604056,48.5291886,0.0364980000000016,-0.0752939999999995,48.30778622580645,0.26491407378263265,31,0.005906680645160061,0.22140237419354492,47.027953737051796,1.4208203569141165,45.106378,50.453386,47.00888693824701,0.009736644000000013,0.00022718072289156318,251,250,50.68196562112873,1
us,2004,DEM,development,2004-11-02,2004-11-02,0,46.982615,46.64033920000001,0.0145800000000022,-0.2558539999999993,46.11627319354838,0.39621148015026725,31,0.034192824999999955,0.5240660064516263,46.17032286852589,1.522595739786284,43.602116,49.010353,46.18679059236388,-0.007614415999999975,-0.0003709919678714812,251,250,48.25481674287688,0
us,2008,DEM,development,2008-11-04,2008-11-04,0,50.990174,50.6827604,0.0,-0.2808370000000053,49.77157077419355,0.6212629787464281,31,0.062920367741934,0.9111896258064505,46.57957885258964,1.4800589076420207,44.205848,50.990174,46.554633418393095,0.012973064000000022,7.55020080301976e-07,251,250,52.86371641269292,1
us,2008,REP,development,2008-11-04,2008-11-04,0,43.820694,43.6603474,0.0,-0.1755440000000021,42.851236387096776,0.537723505894672,31,0.022322056048387034,0.8091110129032231,44.324197442231075,1.7639538276529534,41.081292,47.179456,44.33583146540504,-0.0056429519999999815,-7.630522088929532e-08,251,250,45.63385192324093,0
us,2012,DEM,holdout,2012-11-06,2012-11-06,0,48.100725,47.8712722,0.0,-0.1367639999999994,47.40672458064517,0.34839746785243003,31,0.006784710080644413,0.4645476193548319,47.236714681274904,0.8609237425230842,45.76682,49.03867,47.24154313193891,-0.002167932000000004,-7.908835341366818e-05,251,250,50.999088218498464,1
us,2012,REP,holdout,2012-11-06,2012-11-06,0,47.74572,47.711437,0.0,-0.0731070000000002,47.799054516129026,0.3890624568525223,31,0.020295011290321716,-0.08761751612902913,46.138493478087646,0.8258322165798653,44.41289,48.304652,46.120805833665344,0.009011667999999983,0.0002108915662650636,251,250,47.19985455096508,0
us,2016,DEM,holdout,2016-11-08,2016-11-08,0,45.83657,45.799278,0.0,-0.1065400000000025,45.888586774193534,0.29242490172843416,31,0.013755895161289453,-0.08930877419353322,45.207859203187255,2.0967576463183777,41.05025,49.1175,45.220514772908366,-0.006208879999999988,0.00012176706827310435,251,250,48.07891285830436,1
us,2016,REP,holdout,2016-11-08,2016-11-08,0,41.88613,41.632644000000006,0.0,-0.2292400000000043,40.04112903225807,0.8563064386046843,31,0.07906663709677329,1.5915149677419365,40.422980478087645,1.595303939988365,37.43902,43.95656,40.431084897742366,-0.004141079999999988,0.0008554618473895464,251,250,46.06384487892683,0
us,2016,OTHER,holdout,2016-11-08,2016-11-08,0,4.859068,4.986647,0.0,-0.0008239999999997,5.980954935483871,0.6765321349657281,31,-0.07422143467741951,-0.9943079354838718,8.023228897435896,1.356905701534825,4.858244,10.16349,8.068333485470085,-0.022765759656652354,-9.570888143320315e-19,234,233,5.8572422627688105,0
