Date,Firm,Preferred prime minister,Preferred prime minister,Unnamed: 4_level_0,Satisfied,Dissatisfied,Satisfied,Dissatisfied
Unnamed: 0_level_1,Unnamed: 1_level_1,Turnbull,Shorten,Unnamed: 4_level_1,Turnbull,Turnbull,Shorten,Shorten
28 Jun – 1 Jul 2016,Newspoll[2],48%,31%,,40%,47%,36%,51%
30 Jun 2016,ReachTEL[3],52.9%,47.1%,,,,,
26–29 Jun 2016,Ipsos[6],49%,35%,,49%,41%,42%,50%
23–26 Jun 2016,Essential[7],40%,29%,,40%,40%,37%,39%
23–26 Jun 2016,Newspoll[8],45%,30%,,37%,51%,35%,50%
23 Jun 2016,ReachTEL[9],58.4%,41.6%,,,,,
16–19 Jun 2016,Newspoll[13],46%,31%,,36%,51%,35%,51%
16 Jun 2016,ReachTEL[14],57.6%,42.4%,,,,,
14–16 Jun 2016,Ipsos[15],48%,34%,,47%,42%,43%,47%
9–12 Jun 2016,Essential[16],40%,29%,,38%,40%,34%,40%
9 Jun 2016,ReachTEL[17],55.4%,44.6%,,,,,
2–5 Jun 2016,Newspoll[19],45%,30%,,37%,51%,33%,52%
2 Jun 2016,ReachTEL[20],55.6%,44.4%,,,,,
31 May – 2 Jun 2016,Ipsos[21],49%,31%,,45%,42%,41%,47%
26–29 May 2016,Essential[22],40%,27%,,41%,39%,34%,44%
26 May 2016,ReachTEL[24],54.9%,45.1%,,,,,
19–22 May 2016,Newspoll[26],46%,31%,,38%,50%,37%,49%
19 May 2016,ReachTEL[27],55.6%,44.4%,,,,,
17–19 May 2016,Ipsos[28],47%,30%,,48%,38%,40%,46%
12–15 May 2016,Essential[30],43%,28%,,40%,42%,34%,43%
5–8 May 2016,Newspoll[33],49%,27%,,38%,49%,33%,52%
5–7 May 2016,Ipsos[33],51%,29%,,48%,40%,38%,49%
5 May 2016,ReachTEL[35],57.7%,42.3%,,,,,
4–5 May 2016,Morgan,57%,24%,,43%,41%,34%,49%
14–17 Apr 2016,Newspoll[39],47%,28%,,36%,49%,31%,52%
14–16 Apr 2016,Ipsos[42],54%,27%,,51%,38%,33%,55%
14 Apr 2016,ReachTEL[43],58.4%,41.6%,,,,,
Apr 2016,Essential[44],44%,22%,,39%,39%,30%,44%
31 Mar–3 Apr 2016,Newspoll[45],48%,27%,,38%,48%,32%,53%
Mar 2016,Essential[44],48%,19%,,45%,35%,27%,47%
21 Mar 2016,ReachTEL[35],60.0%,40.0%,,,,,
10–12 Mar 2016,Ipsos[51],61%,24%,,55%,32%,33%,52%
3–6 Mar 2016,Newspoll[52],55%,21%,,44%,41%,30%,55%
Feb 2016,Essential[61],52%,15%,,51%,27%,27%,48%
18–21 Feb 2016,Newspoll[56],55%,21%,,48%,38%,28%,57%
11–13 Feb 2016,Ipsos[59],64%,19%,,62%,24%,30%,55%
11 Feb 2016,ReachTEL[60],74.9%,25.1%,,,,,
Jan 2016,Essential[61],51%,18%,,51%,25%,27%,47%
28–31 Jan 2016,Newspoll[63],59%,20%,,53%,31%,25%,60%
Dec 2015,Essential[61],54%,15%,,56%,23%,27%,47%
4–6 Dec 2015,Newspoll[71],60%,14%,,52%,30%,23%,61%
Nov 2015,Essential[79],55%,14%,,56%,20%,27%,47%
26 Nov 2015,ReachTEL[74],71.4%,28.6%,,,,,
19–22 Nov 2015,Newspoll[76],64%,15%,,60%,22%,26%,57%
12–14 Nov 2015,Ipsos[78],69%,18%,,69%,16%,29%,57%
6–8 Nov 2015,Newspoll[80],55%,14%,,56%,20%,27%,47%
Oct 2015,Essential,48%,19%,,47%,17%,30%,42%
23–25 Oct 2015,Newspoll[174],63%,17%,,58%,23%,26%,58%
20–22 Oct 2015,Morgan[175],76%,14%,,66%,18%,25%,62%
15–17 Oct 2015,Ipsos[87],67%,21%,,68%,17%,32%,56%
9–11 Oct 2015,Newspoll,57%,19%,,50%,25%,28%,53%
Sep 2015,Essential,53%,17%,,,,29%,50%
17–20 Sep 2015,Newspoll,55%,21%,,42%,24%,29%,54%
15–16 Sep 2015,Galaxy[95],51%,20%,,,,,
15 Sep 2015,ReachTEL[96],61.9%,38.1%,,,,,
15 Sep 2015,Morgan,70%,24%,,,,,
,,Abbott,Shorten,,Abbott,Abbott,Shorten,Shorten
4–6 Sep 2015,Newspoll,37%,41%,,30%,63%,30%,58%
27 Aug 2015,ReachTEL[101],42.1%,57.9%,,,,,
20–23 Aug 2015,Newspoll[103],35%,40%,,30%,63%,34%,52%
13–15 Aug 2015,Ipsos,39%,45%,,35%,59%,39%,49%
11 Aug 2015,Essential,36%,32%,,38%,53%,29%,52%
9 Aug 2015,Newspoll,39%,39%,,33%,61%,29%,57%
6 Aug 2015,ReachTEL,41.5%,58.5%,,,,,
31 Jul 2015,ReachTEL,44.9%,55.1%,,,,,
16–19 Jul 2015,Newspoll[111],39%,36%,,33%,60%,27%,59%
7 Jul 2015,Essential,37%,30%,,37%,53%,27%,52%
6 Jul 2015,Newspoll,39%,39%,,33%,60%,28%,56%
11–13 Jun 2015,Newspoll[116],41%,38%,,34%,56%,28%,54%
11–13 Jun 2015,Ipsos[118],41%,42%,,,,,
2 Jun 2015,Essential,38%,33%,,39%,50%,32%,45%
2 Jun 2015,Newspoll[119],41%,37%,,38%,53%,32%,50%
17 May 2015,Ipsos[123],44%,39%,,42%,50%,41%,45%
17 May 2015,Newspoll[124],41%,40%,,39%,52%,35%,46%
12 Apr 2015,Essential,35%,32%,,36%,54%,32%,41%
5 Apr 2015,Newspoll[127],38%,38%,,37%,56%,34%,50%
27 Apr 2015,Morgan,44%,39%,,37%,53%,34%,48%
14 Apr 2015,Essential,33%,35%,,33%,58%,33%,42%
10–12 Apr 2015,Newspoll[130],40%,41%,,33%,59%,33%,51%
9–11 Apr 2015,Ipsos[131],38%,46%,,34%,60%,42%,44%
20–22 Mar 2015,Newspoll[134],36%,41%,,29%,61%,36%,47%
7–8 Mar 2015,Newspoll[137],33%,44%,,28%,63%,39%,42%
26–28 Feb 2015,Ipsos,39%,44%,,32%,62%,43%,43%
20–22 Feb 2015,Newspoll,35%,43%,,25%,68%,35%,49%
6–8 Feb 2015,Newspoll,30%,48%,,24%,68%,42%,40%
1 Feb 2015,Galaxy,27%,44%,,,,,
28–30 Jan 2015,Galaxy,27%,44%,,,,,
14 Jan 2015,Morgan,41%,43%,,37%,52%,37%,40%
13 Jan 2015,Essential,35%,37%,,37%,53%,39%,33%
28–30 Nov 2014,Newspoll,37%,44%,,33%,58%,37%,43%
4–6 Dec 2014,Ipsos,39%,47%,,,,,
28–30 Nov 2014,Newspoll,36%,43%,,33%,57%,39%,43%
18 Nov 2014,Newspoll,37%,43%,,36%,55%,39%,41%
11 Nov 2014,Essential,36%,34%,,39%,50%,37%,38%
4 Nov 2014,Newspoll,39%,38%,,37%,52%,37%,45%
30 Oct–1 Nov 2014,Ipsos,41%,41%,,42%,49%,43%,40%
21 Oct 2014,Newspoll,39%,38%,,38%,53%,35%,46%
14 Oct 2014,Essential,38%,32%,,40%,48%,35%,36%
23 Sep 2014,Newspoll,41%,37%,,41%,52%,38%,43%
5–7 Sep 2014,Newspoll,37%,37%,,35%,54%,36%,43%
22–24 Aug 2014,Newspoll,39%,40%,,36%,55%,40%,39%
8–10 Aug 2014,Newspoll,41%,37%,,36%,54%,36%,44%
25–27 Jul 2014,Newspoll,38%,38%,,36%,53%,38%,41%
11–13 Jul 2014,Newspoll,36%,41%,,31%,60%,34%,43%
27–29 Jun 2014,Newspoll,34%,44%,,31%,62%,34%,41%
13–15 Jun 2014,Newspoll,37%,40%,,30%,61%,34%,45%
30 May – 1 Jun 2014,Newspoll,35%,45%,,33%,59%,38%,43%
16–18 May 2014,Newspoll,34%,44%,,30%,60%,42%,39%
15–17 May 2014,Nielsen,40%,51%,,34%,62%,47%,39%
2–4 May 2014,Newspoll,40%,38%,,35%,56%,35%,41%
13 Apr 2014,Nielsen,45%,44%,,43%,50%,43%,41%
8 Apr 2014,Essential,42%,32%,,41%,47%,34%,38%
4–6 Apr 2014,Newspoll,41%,33%,,40%,47%,31%,42%
21–23 Mar 2014,Newspoll,43%,36%,,40%,50%,36%,43%
13–15 Mar 2014,Nielsen,48%,43%,,45%,49%,42%,42%
7–9 Mar 2014,Newspoll,42%,36%,,38%,50%,33%,43%
21–23 Feb 2014,Newspoll[160],38%,37%,,36%,52%,35%,39%
15 Feb 2014,Nielsen[160],49%,39%,,45%,47%,40%,40%
7–9 Feb 2014,Newspoll,41%,33%,,40%,45%,35%,35%
6–8 Dec 2013,Newspoll,41%,34%,,40%,45%,44%,27%
22–24 Nov 2013,Newspoll,44%,33%,,42%,42%,39%,27%
21–23 Nov 2013,Nielsen[169],49%,41%,,47%,46%,51%,30%
8–10 Nov 2013,Newspoll,46%,30%,,45%,38%,37%,24%
25–27 Oct 2013,Newspoll,47%,28%,,47%,34%,32%,24%
2013 election,,–,–,,–,–,–,–
3–5 Sep 2013,Newspoll,45%,,,44%,50%,,
"^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader."
