Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
7 May 2015,2015 general election[a],–,37.8%,31.2%,8.1%,12.9%,3.8%,6.3%,6.6
5–7 May,Populus[1],3917,34%,34%,9%,13%,5%,6%,Tie
6 May,Survation[2][b],1045,37%,31%,10%,11%,5%,6%,6
30 Apr – 6 May,SurveyMonkey[3],18131,34%,28%,7%,13%,8%,9%,6
5–6 May,Lord Ashcroft,3028,33%,33%,10%,11%,6%,8%,Tie
5–6 May,Ipsos MORI/Evening Standard,1186,36%,35%,8%,11%,5%,5%,1
4–6 May,YouGov/The Sun,10307,34%,34%,10%,12%,4%,6%,Tie
5–6 May,"ComRes/Daily Mail, ITV News Archived 18 May 2015 at the Wayback Machine",1007,35%,34%,9%,12%,4%,6%,1
4–6 May,Survation/Daily Mirror[c],4088,31%,31%,10%,16%,5%,7%,Tie
3–6 May,ICM/The Guardian[d],2023,34%,35%,9%,11%,4%,7%,1
3–6 May,ICM/The Guardian[e],1560,35%,35%,9%,11%,3%,7%,Tie
1–6 May,Panelbase Archived 18 May 2015 at the Wayback Machine[4],3019,31%,33%,8%,16%,5%,7%,2
4–5 May,Opinium,2960,35%,34%,8%,12%,6%,5%,1
4–5 May,YouGov/The Sun,2148,34%,34%,9%,12%,5%,6%,Tie
4–5 May,Survation/Daily Mirror,1504,33%,34%,9%,16%,4%,4%,1
3–5 May,"ComRes/Daily Mail, ITV News Archived 22 October 2015 at the Wayback Machine",1011,35%,32%,9%,14%,4%,6%,3
3–5 May,"BMG/May2015.com, New Statesman",1009,34%,34%,10%,12%,4%,6%,Tie
3–4 May,YouGov/The Sun,1664,33%,33%,10%,12%,5%,6%,Tie
30 Apr – 4 May,TNS,1185,33%,32%,8%,14%,6%,6%,1
2–3 May,YouGov/The Sun,1789,34%,33%,9%,12%,5%,7%,1
1–3 May,Lord Ashcroft,1001,32%,30%,11%,12%,7%,9%,2
1–3 May,Populus,2054,34%,34%,10%,13%,5%,5%,Tie
1–2 May,YouGov/Sunday Times,1967,34%,33%,8%,13%,5%,7%,1
1–2 May,Survation/Mail on Sunday,2128,31%,34%,8%,17%,4%,6%,3
30 Apr – 1 May,YouGov/The Sun,1575,33%,34%,8%,14%,5%,5%,1
30 Apr – 1 May,Survation/Daily Mirror,1117,33%,34%,9%,16%,3%,5%,1
29–30 Apr,YouGov/Sun on Sunday,1970,34%,35%,9%,12%,5%,6%,1
29–30 Apr,Populus,2016,33%,33%,9%,15%,4%,5%,Tie
29–30 Apr,YouGov/The Sun,1729,34%,35%,8%,12%,5%,6%,1
29–30 Apr,Panelbase Archived 13 May 2015 at the Wayback Machine,1020,32%,34%,8%,17%,4%,7%,2
28–30 Apr,"ComRes/Independent on Sunday, Sunday Mirror Archived 14 May 2015 at the Wayback Machine",1002,33%,33%,8%,13%,7%,6%,Tie
28–30 Apr,Opinium/The Observer,1956,35%,34%,8%,13%,5%,5%,1
28–29 Apr,YouGov/The Sun,1823,35%,34%,9%,12%,4%,6%,1
26–29 Apr,Ipsos MORI/Evening Standard,1010,35%,30%,8%,10%,8%,9%,5
27–28 Apr,"ComRes/ITV News, Daily Mail Archived 18 May 2015 at the Wayback Machine",1005,35%,35%,7%,11%,6%,6%,Tie
27–28 Apr,YouGov/The Sun,1749,34%,35%,9%,12%,4%,6%,1
26–27 Apr,YouGov/The Sun,2127,35%,34%,9%,12%,5%,6%,1
25–27 Apr,BMG/May2015.com[5],1013,35%,32%,11%,14%,3%,5%,3
23–27 Apr,TNS,1186,34%,33%,7%,15%,5%,5%,1
25–26 Apr,YouGov/The Sun,2096,33%,34%,8%,14%,5%,6%,1
24–26 Apr,Lord Ashcroft,1003,36%,30%,9%,11%,7%,7%,6
24–26 Apr,ICM/The Guardian,1004,35%,32%,9%,13%,5%,6%,3
24–26 Apr,Populus,2072,33%,36%,8%,14%,5%,4%,3
24–25 Apr,YouGov/Sunday Times,2271,32%,34%,9%,14%,6%,5%,2
24–25 Apr,Survation/Mail on Sunday,1004,33%,30%,9%,18%,4%,6%,3
23–24 Apr,YouGov/The Sun,1594,33%,35%,8%,13%,6%,5%,2
21–24 Apr,Opinium/The Observer,1964,34%,33%,9%,13%,6%,5%,1
22–23 Apr,Populus,2051,32%,35%,8%,14%,5%,6%,3
22–23 Apr,YouGov/The Sun,1834,33%,35%,8%,13%,6%,6%,2
22–23 Apr,Survation/Daily Mirror,1205,33%,29%,10%,18%,4%,6%,4
21–23 Apr,Panelbase,1012,31%,34%,7%,17%,4%,7%,3
21–22 Apr,"ComRes/ITV News, Daily Mail Archived 30 April 2015 at the Wayback Machine",1003,36%,32%,8%,10%,5%,9%,4
21–22 Apr,YouGov/The Sun,2060,33%,34%,7%,14%,5%,6%,1
20–21 Apr,YouGov/The Sun,1799,35%,34%,7%,13%,5%,6%,1
19–20 Apr,YouGov/The Sun,2078,34%,35%,7%,13%,5%,6%,1
16–20 Apr,TNS,1199,32%,34%,8%,15%,5%,6%,2
18–19 Apr,YouGov/The Sun,1675,34%,35%,8%,13%,5%,6%,1
17–19 Apr,Lord Ashcroft,1002,34%,30%,10%,13%,4%,9%,4
17–19 Apr,Populus[permanent dead link],2048,32%,34%,9%,15%,4%,6%,2
17–19 Apr,ICM/The Guardian,1003,34%,32%,10%,11%,5%,8%,2
17–18 Apr,YouGov/Sunday Times,1780,33%,36%,8%,13%,5%,5%,3
16–17 Apr,Opinium/The Observer,1955,36%,32%,8%,13%,5%,6%,4
16–17 Apr,YouGov/The Sun,1713,34%,34%,9%,14%,5%,5%,Tie
16–17 Apr,Survation/Daily Mirror,1314,34%,33%,7%,17%,3%,6%,1
15–16 Apr,Populus Archived 17 April 2015 at the Wayback Machine,2048,33%,34%,9%,14%,4%,5%,1
15–16 Apr,YouGov/The Sun,1939,34%,34%,7%,14%,5%,6%,Tie
14–16 Apr,Panelbase Archived 20 April 2015 at the Wayback Machine,1025,33%,34%,8%,16%,4%,5%,1
14–15 Apr,YouGov/The Sun,1894,34%,35%,8%,13%,5%,6%,1
12–15 Apr,Ipsos MORI/Evening Standard,1000,33%,35%,7%,10%,8%,7%,2
13–14 Apr,YouGov/The Sun,1842,33%,35%,8%,13%,5%,6%,2
12–13 Apr,YouGov/The Sun,2444,33%,34%,8%,13%,6%,5%,1
9–13 Apr,TNS,1192,34%,32%,9%,14%,5%,6%,2
11–12 Apr,YouGov/The Sun,1717,33%,36%,7%,13%,5%,6%,3
10–12 Apr,Lord Ashcroft,1003,33%,33%,9%,13%,6%,8%,Tie
10–12 Apr,ICM/The Guardian,1042,39%,33%,8%,7%,7%,5%,6
10–12 Apr,Populus[permanent dead link],2036,33%,33%,8%,15%,5%,6%,Tie
10–11 Apr,YouGov/Sunday Times,1887,34%,34%,7%,13%,6%,6%,Tie
9–10 Apr,YouGov/The Sun,1782,33%,35%,8%,13%,5%,5%,2
8–9 Apr,Opinium/The Observer,1916,36%,34%,7%,11%,6%,6%,2
8–9 Apr,Populus,2020,31%,33%,8%,16%,6%,7%,2
8–9 Apr,YouGov/The Sun,1938,35%,34%,8%,12%,4%,6%,1
8–9 Apr,Survation/Daily Mirror,1111,31%,35%,9%,15%,4%,6%,4
7–9 Apr,Panelbase Archived 16 April 2015 at the Wayback Machine,1013,31%,37%,8%,16%,4%,4%,6
7–8 Apr,"ComRes/ITV News, Daily Mail Archived 16 April 2015 at the Wayback Machine",1013,34%,33%,12%,12%,4%,6%,1
7–8 Apr,YouGov/The Sun,1871,34%,35%,8%,13%,5%,5%,1
6–7 Apr,YouGov/The Sun,1672,33%,35%,8%,14%,5%,5%,2
2–7 Apr,TNS,1207,30%,33%,8%,19%,4%,7%,3
2–6 Apr,Populus,2008,31%,33%,10%,15%,4%,7%,2
3–4 Apr,YouGov/Sunday Times,1906,34%,33%,10%,13%,4%,6%,1
2–3 Apr,Opinium/The Observer,1974,33%,33%,7%,14%,7%,5%,Tie
2–3 Apr,Survation/Daily Mirror,1207,31%,33%,9%,18%,3%,6%,2
1–2 Apr,YouGov/The Sun,1583,37%,35%,7%,12%,5%,4%,2
31 Mar – 2 Apr,Panelbase Archived 3 April 2015 at the Wayback Machine,1006,33%,33%,7%,17%,5%,5%,Tie
31 Mar – 1 Apr,Populus,2057,32%,34%,9%,15%,5%,5%,2
31 Mar – 1 Apr,YouGov/The Sun,1678,36%,34%,8%,13%,4%,5%,2
30–31 Mar,YouGov/The Sun,1566,35%,36%,7%,12%,5%,5%,1
30 Mar,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign,Dissolution of Parliament and the official start of the election campaign
29–30 Mar,YouGov/The Sun,2001,35%,35%,8%,12%,5%,5%,Tie
26–30 Mar,TNS,1197,33%,32%,8%,16%,5%,7%,1
28–29 Mar,"ComRes/ITV News, Daily Mail Archived 19 September 2015 at the Wayback Machine",1005,36%,32%,9%,12%,5%,7%,4
27–29 Mar,Lord Ashcroft,1004,36%,34%,6%,10%,7%,6%,2
27–29 Mar,Populus,2004,34%,34%,8%,15%,4%,5%,Tie
27–28 Mar,YouGov/Sunday Times,1799,32%,36%,8%,13%,6%,5%,4
25–26 Mar,Populus,2049,31%,33%,9%,16%,5%,6%,2
25–26 Mar,YouGov/The Sun,1698,36%,34%,7%,13%,5%,5%,2
24–26 Mar,Panelbase Archived 14 May 2015 at the Wayback Machine,1007,34%,34%,5%,15%,6%,6%,Tie
24–25 Mar,Opinium/The Observer,1959,34%,33%,8%,13%,7%,3%,1
24–25 Mar,YouGov/The Sun,1610,34%,35%,8%,12%,6%,5%,1
24–25 Mar,Survation/Daily Mirror,1007,32%,33%,8%,18%,4%,5%,1
23–24 Mar,YouGov/The Sun,2006,35%,35%,8%,12%,6%,4%,Tie
22–23 Mar,YouGov/The Sun,1641,34%,34%,8%,12%,6%,5%,Tie
18–23 Mar,YouGov/The Times,8271,34%,33%,8%,14%,5%,6%,1
20–22 Mar,"ComRes/ITV News, Daily Mail Archived 2 April 2015 at the Wayback Machine",1001,35%,35%,8%,10%,7%,6%,Tie
20–22 Mar,Lord Ashcroft,1003,33%,33%,8%,12%,5%,9%,Tie
20–22 Mar,Populus,2035,31%,33%,9%,16%,5%,5%,2
20–21 Mar,Survation/Mail on Sunday,1008,30%,34%,10%,17%,3%,6%,4
19–20 Mar,YouGov/Sunday Times,1532,33%,35%,8%,14%,5%,5%,2
18–19 Mar,Opinium/The Observer,1979,36%,33%,7%,14%,6%,4%,3
18–19 Mar,Populus Archived 2 April 2015 at the Wayback Machine,2020,31%,34%,9%,17%,5%,4%,3
18–19 Mar,YouGov/The Sun,2293,35%,33%,8%,13%,6%,5%,2
17–18 Mar,YouGov/The Sun,1752,33%,34%,8%,14%,6%,5%,1
16–17 Mar,YouGov/The Sun,1830,34%,36%,7%,12%,6%,5%,2
15–16 Mar,YouGov/The Sun,1683,33%,35%,7%,13%,7%,5%,2
13–16 Mar,TNS,1188,33%,32%,7%,17%,4%,7%,1
13–15 Mar,Lord Ashcroft,1002,31%,29%,8%,15%,8%,9%,2
13–15 Mar,ICM/The Guardian,1001,36%,35%,8%,9%,4%,8%,1
13–15 Mar,Populus,2041,34%,34%,8%,15%,5%,5%,Tie
12–13 Mar,YouGov/Sunday Times,1669,34%,34%,7%,14%,5%,6%,Tie
11–13 Mar,"ComRes/Sunday Mirror, Independent on Sunday Archived 22 March 2015 at the Wayback Machine",2002,33%,35%,7%,16%,4%,5%,2
11–12 Mar,Populus,2041,29%,32%,8%,18%,6%,7%,3
11–12 Mar,YouGov/The Sun,1619,33%,32%,7%,16%,6%,6%,1
10–12 Mar,Opinium/The Observer,1947,33%,35%,7%,14%,7%,5%,2
10–11 Mar,YouGov/The Sun,1728,34%,35%,7%,14%,5%,5%,1
8–11 Mar,Ipsos MORI/Evening Standard,1025,33%,34%,8%,13%,6%,6%,1
9–10 Mar,YouGov/The Sun,1598,33%,31%,8%,15%,6%,6%,2
8–9 Mar,YouGov/The Sun,1745,35%,31%,8%,14%,6%,6%,4
6–8 Mar,Lord Ashcroft,1003,34%,30%,5%,15%,8%,7%,4
6–8 Mar,Populus,2026,32%,33%,9%,15%,6%,6%,1
5–6 Mar,YouGov/Sunday Times,1754,34%,33%,8%,15%,5%,5%,1
3–6 Mar,Opinium/The Observer,1961,34%,34%,8%,14%,7%,5%,Tie
4–5 Mar,Populus Archived 2 April 2015 at the Wayback Machine,2063,31%,33%,8%,16%,5%,5%,2
4–5 Mar,YouGov/The Sun,1748,31%,35%,6%,15%,8%,4%,4
3–4 Mar,YouGov/The Sun,1544,34%,34%,8%,14%,6%,4%,Tie
2–3 Mar,YouGov/The Sun,1701,36%,34%,5%,14%,6%,5%,2
1–2 Mar,YouGov/The Sun,1866,35%,32%,7%,15%,6%,5%,3
27 Feb – 1 Mar,Lord Ashcroft,1003,34%,31%,7%,14%,7%,8%,3
27 Feb – 1 Mar,Populus,2056,32%,34%,8%,14%,5%,7%,2
26–27 Feb,YouGov/Sunday Times,1959,34%,34%,8%,14%,5%,5%,Tie
25–27 Feb,Populus Archived 27 February 2015 at the Wayback Machine,2005,31%,33%,9%,16%,6%,5%,2
25–26 Feb,YouGov/The Sun,1638,33%,34%,8%,13%,6%,6%,1
24–26 Feb,Opinium/The Observer,1948,34%,35%,6%,14%,6%,6%,1
24–25 Feb,YouGov/The Sun,1581,33%,33%,8%,15%,6%,5%,Tie
23–24 Feb,YouGov/The Sun,1520,35%,33%,6%,14%,7%,5%,2
23 Feb,Survation/Daily Mirror,1046,28%,34%,10%,19%,4%,5%,6
22–23 Feb,YouGov/The Sun,1772,33%,33%,8%,13%,7%,5%,Tie
20–23 Feb,ComRes/Daily Mail Archived 24 February 2015 at the Wayback Machine,1004,34%,32%,8%,13%,8%,6%,2
20–22 Feb,Lord Ashcroft,1004,32%,36%,7%,11%,8%,6%,4
20–22 Feb,Populus,2059,34%,34%,9%,15%,6%,6%,Tie
19–20 Feb,YouGov/Sunday Times,1568,33%,34%,8%,13%,6%,6%,1
17–20 Feb,Opinium/The Observer,1975,35%,33%,6%,15%,7%,5%,2
18–19 Feb,Populus,2011,31%,32%,9%,17%,6%,5%,1
18–19 Feb,YouGov/The Sun,1564,32%,33%,9%,15%,6%,5%,1
17–18 Feb,YouGov/The Sun,1743,32%,34%,8%,14%,6%,5%,2
16–17 Feb,YouGov/The Sun,1548,33%,34%,6%,15%,7%,5%,1
15–16 Feb,YouGov/The Sun,1580,32%,32%,6%,16%,8%,5%,Tie
12–16 Feb,TNS,1193,28%,35%,6%,18%,7%,6%,7
13–15 Feb,Lord Ashcroft,1004,30%,31%,9%,16%,8%,6%,1
13–15 Feb,Populus,2012,31%,33%,10%,15%,5%,5%,2
13–15 Feb,ICM/The Guardian,1000,36%,32%,10%,9%,7%,7%,4
12–13 Feb,YouGov/Sunday Times,1620,32%,35%,7%,15%,7%,5%,3
11–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday Archived 14 February 2015 at the Wayback Machine",2017,32%,34%,7%,16%,4%,7%,2
11–12 Feb,Populus,2055,31%,34%,9%,14%,6%,6%,3
11–12 Feb,YouGov/The Sun,1592,31%,34%,7%,15%,7%,6%,3
10–12 Feb,Opinium/The Observer,1969,33%,35%,8%,14%,6%,6%,2
10–11 Feb,YouGov/The Sun,1764,32%,33%,7%,15%,7%,6%,1
9–10 Feb,YouGov/The Sun,1677,33%,35%,6%,13%,8%,5%,2
8–10 Feb,Ipsos MORI/Evening Standard,1010,34%,36%,6%,9%,7%,8%,2
8–9 Feb,YouGov/The Sun,1552,34%,33%,7%,14%,7%,6%,1
6–8 Feb,Lord Ashcroft,1003,34%,31%,9%,14%,6%,6%,3
6–8 Feb,Populus,2003,33%,34%,8%,15%,4%,4%,1
5–6 Feb,YouGov/Sunday Times,1668,32%,33%,7%,15%,8%,5%,1
3–6 Feb,Opinium/The Observer,1947,32%,34%,7%,15%,8%,4%,2
4–5 Feb,Populus,2056,31%,34%,8%,16%,5%,6%,3
4–5 Feb,YouGov/The Sun,1719,32%,33%,9%,15%,5%,5%,1
3–4 Feb,YouGov/The Sun,1749,34%,33%,6%,13%,7%,7%,1
2–3 Feb,YouGov/The Sun,1705,33%,33%,7%,14%,7%,5%,Tie
1–2 Feb,YouGov/The Sun,1630,33%,35%,7%,14%,6%,5%,2
30 Jan – 2 Feb,Populus,2040,31%,34%,8%,14%,5%,6%,3
29 Jan – 2 Feb,TNS,1182,27%,33%,6%,18%,8%,8%,6
30 Jan – 1 Feb,Lord Ashcroft,1002,31%,31%,8%,15%,9%,6%,Tie
29–30 Jan,YouGov/Sunday Times,1550,32%,35%,7%,15%,6%,5%,3
27–30 Jan,Opinium/The Observer,1975,32%,33%,5%,18%,6%,6%,1
28–29 Jan,Populus,2020,34%,35%,10%,14%,4%,3%,1
28–29 Jan,YouGov/The Sun,1593,34%,34%,6%,14%,7%,5%,Tie
27–28 Jan,YouGov/The Sun,1548,33%,33%,6%,16%,7%,5%,Tie
26–27 Jan,YouGov/The Sun,1655,34%,33%,7%,14%,7%,5%,1
25–26 Jan,YouGov/The Sun,1656,34%,33%,6%,15%,7%,5%,1
23–26 Jan,TNS-BMRB/BBC Radio 4 Woman's Hour Archived 3 February 2015 at the Wayback Machine,975,28%,39%,4%,14%,8%,7%,11
25 Jan,Survation/Daily Mirror,1014,31%,30%,7%,23%,3%,6%,1
23–25 Jan,ComRes/The Independent[permanent dead link],1001,31%,30%,8%,17%,7%,7%,1
23–25 Jan,Populus,2039,34%,35%,9%,13%,6%,3%,1
22–25 Jan,Lord Ashcroft,1001,32%,32%,6%,15%,9%,6%,Tie
22–23 Jan,YouGov/Sunday Times,1578,32%,32%,7%,15%,7%,6%,Tie
21–22 Jan,Populus,2049,32%,36%,9%,13%,6%,4%,4
21–22 Jan,YouGov/The Sun,1640,31%,33%,7%,17%,8%,4%,2
20–21 Jan,YouGov/The Sun,1645,33%,34%,6%,14%,8%,5%,1
19–20 Jan,YouGov/The Sun,1570,32%,30%,8%,15%,10%,5%,2
18–19 Jan,YouGov/The Sun,1747,32%,32%,8%,15%,7%,6%,Tie
16–19 Jan,ICM/The Guardian,1002,30%,33%,11%,11%,9%,7%,3
15–19 Jan,TNS,1188,31%,31%,8%,16%,7%,7%,Tie
16–18 Jan,Lord Ashcroft,1004,29%,28%,9%,15%,11%,8%,1
16–18 Jan,Populus,2036,35%,36%,8%,13%,4%,4%,1
15–16 Jan,YouGov/Sunday Times,1647,31%,32%,7%,18%,7%,4%,1
14–15 Jan,YouGov/Sun on Sunday,1763,31%,33%,7%,16%,7%,6%,2
14–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link]",2023,33%,34%,7%,18%,3%,5%,1
14–15 Jan,Populus,2070,32%,35%,9%,14%,6%,4%,3
14–15 Jan,YouGov/The Sun,1660,32%,32%,6%,16%,8%,6%,Tie
13–15 Jan,Opinium/The Observer,1966,28%,33%,7%,20%,6%,6%,5
13–14 Jan,YouGov/The Sun,1834,32%,34%,6%,15%,7%,6%,2
12–13 Jan,YouGov/The Sun,1782,32%,33%,7%,14%,7%,6%,1
11–13 Jan,Ipsos MORI/Evening Standard,1010,33%,34%,8%,11%,8%,6%,1
11–12 Jan,YouGov/The Sun,1649,32%,33%,6%,17%,6%,6%,1
9–11 Jan,Lord Ashcroft,1002,34%,28%,8%,16%,8%,6%,6
9–11 Jan,Populus,2056,32%,37%,10%,13%,4%,4%,5
8–9 Jan,YouGov/Sunday Times,1684,32%,32%,7%,18%,6%,5%,Tie
7–8 Jan,Populus,2046,33%,34%,8%,14%,6%,5%,1
7–8 Jan,YouGov/The Sun,1753,33%,33%,8%,13%,7%,6%,Tie
6–8 Jan,TNS,1201,28%,35%,6%,18%,5%,8%,7
6–7 Jan,YouGov/The Sun,1707,32%,33%,7%,15%,7%,6%,1
5–6 Jan,YouGov/The Sun,1769,33%,33%,7%,13%,8%,5%,Tie
4–5 Jan,YouGov/The Sun,1728,31%,34%,7%,14%,8%,6%,3
2–4 Jan,Populus,2046,34%,36%,9%,12%,5%,5%,2
30 Dec 2014 – 2 Jan 2015,Opinium/The Observer,1970,32%,33%,8%,17%,4%,7%,1
